CantonCode,AccidentType,acc_count
ZH,a,0.0
ZH,at0,143.0
ZH,at4,8.0
ZH,at8,68.0
ZH,at6,3.0
ZH,at00,10.0
ZH,at5,12.0
ZH,at3,20.0
ZH,at1,5.0
ZH,at2,12.0
ZH,at9,1.0
ZH,at7,0.0
ZH,z,0.0
ZH,z,0.0
FR,a,0.0
FR,at0,40.0
FR,at4,3.0
FR,at8,18.0
FR,at6,7.0
FR,at00,0.0
FR,at5,1.0
FR,at3,5.0
FR,at1,6.0
FR,at2,1.0
FR,at9,1.0
FR,at7,1.0
FR,z,0.0
FR,z,0.0
GE,a,0.0
GE,at0,37.0
GE,at4,1.0
GE,at8,31.0
GE,at6,9.0
GE,at00,3.0
GE,at5,2.0
GE,at3,12.0
GE,at1,2.0
GE,at2,8.0
GE,at9,0.0
GE,at7,0.0
GE,z,0.0
GE,z,0.0
NE,a,0.0
NE,at0,19.0
NE,at4,1.0
NE,at8,10.0
NE,at6,6.0
NE,at00,2.0
NE,at5,0.0
NE,at3,1.0
NE,at1,4.0
NE,at2,2.0
NE,at9,0.0
NE,at7,0.0
NE,z,0.0
NE,z,0.0
TG,a,0.0
TG,at0,17.0
TG,at4,10.0
TG,at8,15.0
TG,at6,12.0
TG,at00,0.0
TG,at5,6.0
TG,at3,7.0
TG,at1,4.0
TG,at2,4.0
TG,at9,0.0
TG,at7,1.0
TG,z,0.0
TG,z,0.0
BE,a,0.0
BE,at0,119.0
BE,at4,11.0
BE,at8,65.0
BE,at6,50.0
BE,at00,7.0
BE,at5,11.0
BE,at3,22.0
BE,at1,11.0
BE,at2,7.0
BE,at9,2.0
BE,at7,1.0
BE,z,0.0
BE,z,0.0
SO,a,0.0
SO,at0,23.0
SO,at4,2.0
SO,at8,15.0
SO,at6,5.0
SO,at00,0.0
SO,at5,4.0
SO,at3,3.0
SO,at1,4.0
SO,at2,4.0
SO,at9,1.0
SO,at7,0.0
SO,z,0.0
SO,z,0.0
BL,a,0.0
BL,at0,37.0
BL,at4,2.0
BL,at8,15.0
BL,at6,12.0
BL,at00,1.0
BL,at5,1.0
BL,at3,5.0
BL,at1,1.0
BL,at2,2.0
BL,at9,0.0
BL,at7,2.0
BL,z,0.0
BL,z,0.0
JU,a,0.0
JU,at0,10.0
JU,at4,1.0
JU,at8,3.0
JU,at6,7.0
JU,at00,0.0
JU,at5,0.0
JU,at3,1.0
JU,at1,1.0
JU,at2,1.0
JU,at9,0.0
JU,at7,1.0
JU,z,0.0
