canton,road_type,acc_count
ZH,rt432,88.0
ZH,rt433,156.0
ZH,rt430,21.0
ZH,rt431,5.0
ZH,rt439,12.0
ZH,rt434,0.0
ZH,a,0.0
ZH,z,0.0
FR,rt432,46.0
FR,rt433,24.0
FR,rt430,7.0
FR,rt431,0.0
FR,rt439,6.0
FR,rt434,0.0
FR,a,0.0
FR,z,0.0
GE,rt432,68.0
GE,rt433,27.0
GE,rt430,9.0
GE,rt431,0.0
GE,rt439,1.0
GE,rt434,0.0
GE,a,0.0
GE,z,0.0
NE,rt432,28.0
NE,rt433,8.0
NE,rt430,5.0
NE,rt431,0.0
NE,rt439,4.0
NE,rt434,0.0
NE,a,0.0
NE,z,0.0
TG,rt432,51.0
TG,rt433,19.0
TG,rt430,3.0
TG,rt431,0.0
TG,rt439,3.0
TG,rt434,0.0
TG,a,0.0
TG,z,0.0
BE,rt432,187.0
BE,rt433,85.0
BE,rt430,9.0
BE,rt431,10.0
BE,rt439,15.0
BE,rt434,0.0
BE,a,0.0
BE,z,0.0
SO,rt432,36.0
SO,rt433,14.0
SO,rt430,3.0
SO,rt431,0.0
SO,rt439,8.0
SO,rt434,0.0
SO,a,0.0
SO,z,0.0
BL,rt432,31.0
BL,rt433,25.0
BL,rt430,8.0
BL,rt431,4.0
BL,rt439,9.0
BL,rt434,1.0
BL,a,0.0
BL,z,0.0
JU,rt432,14.0
JU,rt433,4.0
JU,rt430,5.0
JU,rt431,1.0
JU,rt439,1.0
JU,rt434,0.0
JU,a,0.0
JU,z,0.0
VD,rt432,121.0
VD,rt433,55.0
VD,rt430,37.0
VD,rt431,0.0
VD,rt439,9.0
VD,rt434,0.0
VD,a,0.0
VD,z,0.0
TI,rt432,46.0
TI,rt433,33.0
TI,rt430,16.0
TI,rt431,2.0
TI,rt439,6.0
TI,rt434,0.0
TI,a,0.0
TI,z,0.0
SG,rt432,67.0
SG,rt433,42.0
SG,rt430,18.0
SG,rt431,7.0
SG,rt439,7.0
SG,rt434,1.0
SG,a,0.0
SG,z,0.0
SZ,rt432,30.0
SZ,rt433,17.0
SZ,rt430,2.0
SZ,rt431,0.0
SZ,rt439,2.0
SZ,rt434,0.0
SZ,a,0.0
SZ,z,0.0
GR,rt432,67.0
GR,rt433,37.0
GR,rt430,6.0
GR,rt431,16.0
GR,rt439,7.0
GR,rt434,0.0
GR,a,0.0
GR,z,0.0
VS,rt432,76.0
VS,rt433,31.0
VS,rt430,12.0
VS,rt431,1.0
VS,rt439,8.0
VS,rt434,1.0
VS,a,0.0
VS,z,0.0
LU,rt432,44.0
LU,rt433,39.0
LU,rt430,7.0
LU,rt431,4.0
LU,rt439,6.0
LU,rt434,1.0
LU,a,0.0
LU,z,0.0
AG,rt432,73.0
AG,rt433,57.0
AG,rt430,18.0
AG,rt431,1.0
AG,rt439,4.0
AG,rt434,0.0
AG,a,0.0
AG,z,0.0
GL,rt432,10.0
GL,rt433,3.0
GL,rt430,0.0
GL,rt431,0.0
GL,rt439,0.0
GL,rt434,0.0
GL,a,0.0
GL,z,0.0
ZG,rt432,10.0
ZG,rt433,14.0
ZG,rt430,1.0
ZG,rt431,0.0
ZG,rt439,1.0
ZG,rt434,0.0
ZG,a,0.0
ZG,z,0.0
BS,rt432,4.0
BS,rt433,20.0
BS,rt430,0.0
BS,rt431,0.0
BS,rt439,2.0
BS,rt434,0.0
BS,a,0.0
BS,z,0.0
OW,rt432,6.0
OW,rt433,2.0
OW,rt430,1.0
OW,rt431,6.0
OW,rt439,0.0
OW,rt434,0.0
OW,a,0.0
OW,z,0.0
UR,rt432,20.0
UR,rt433,1.0
UR,rt430,7.0
UR,rt431,3.0
UR,rt439,0.0
UR,rt434,0.0
UR,a,0.0
UR,z,0.0
SH,rt432,5.0
SH,rt433,8.0
SH,rt430,0.0
SH,rt431,6.0
SH,rt439,0.0
SH,rt434,0.0
SH,a,0.0
SH,z,0.0
AR,rt432,8.0
AR,rt433,3.0
AR,rt430,0.0
AR,rt431,0.0
AR,rt439,1.0
AR,rt434,0.0
AR,a,0.0
AR,z,0.0
NW,rt432,11.0
NW,rt433,3.0
NW,rt430,3.0
NW,rt431,0.0
NW,rt439,0.0
NW,rt434,0.0
NW,a,0.0
NW,z,0.0
AI,rt432,2.0
AI,rt433,4.0
AI,rt430,0.0
AI,rt431,0.0
AI,rt439,0.0
AI,rt434,0.0
AI,a,0.0
AI,z,0.0
